MUESTRA X1 X2 X3 X4 X5
1 17,067 20,761 19,547 21,635 18,887
2 25,413 15,350 19,811 23,132 17,232
3 22,548 20,635 20,421 19,063 16,663
4 19,282 23,362 19,569 24,033 17,397
5 20,953 19,295 23,526 14,093 18,652
6 21,593 15,979 24,727 19,421 16,318
7 18,365 18,910 16,433 21,288 25,576
8 19,493 22,219 20,231 20,299 18,602
9 13,524 24,450 18,814 20,996 21,113
10 16,927 19,129 22,343 21,699 22,781
11 19,049 25,734 23,490 22,559 25,448
12 17,802 19,587 19,089 26,604 19,432
13 20,193 21,247 21,452 23,967 19,858
14 20,641 26,829 24,511 24,335 23,155
15 25,706 24,212 23,940 24,316 29,853
16 17,833 21,487 28,196 22,616 21,437
17 22,565 20,573 22,077 18,646 24,293
18 21,771 22,152 21,579 22,612 22,274
19 18,783 24,608 24,360 18,249 20,992
20 25,248 17,629 20,237 18,170 26,116
21 20,361 17,164 20,477 23,651 19,669
22 20,432 26,040 21,984 22,831 24,316
